relative_path,line_count,mtime_iso,module_doc_first_line
Code/thesis/calculate_params.py,98,2026-03-30T05:59:32+00:00,
Code/thesis/check_params_sandbox.py,71,2026-03-30T05:59:32+00:00,
Code/thesis/common/__init__.py,11,2026-03-30T05:59:34+00:00,"Shared utilities for thesis training, evaluation, and checkpoints."
Code/thesis/common/b11_cnn_lstm_stack_gelu_model.py,84,2026-04-04T02:06:46+00:00,"B11-style stack: frozen pretrained **CNN** encoder (100→100) then frozen **LSTM** encoder (100→100), then trainable ``100 -> hidden -> GELU -> K``. Pretrain weights: ``checkpoints/pretrain/pretrain_cnn[_3labels].safetensors`` and ``pretrain_lstm[_3labels].safetensors`` (``encoder.*`` keys only)."
Code/thesis/common/checkpoint_io.py,31,2026-04-04T11:46:18+00:00,
Code/thesis/common/datasets.py,446,2026-04-04T22:23:28+00:00,
Code/thesis/common/distributed.py,119,2026-04-05T02:49:58+00:00,
Code/thesis/common/feature_pretrain_models.py,217,2026-03-30T05:59:34+00:00,"100-D feature encoders + MSE reconstruction decoder for merged transformed all-data pretrain. Total trainable params target: 50k–80k (encoder + decoder). Checkpoints export **encoder** only. Finetune: ``FeatureEncoderClassifier`` = loaded encoder + Linear(100, n_classes)."
Code/thesis/common/model_factory.py,129,2026-04-01T01:53:36+00:00,
Code/thesis/common/multi_parquet_text.py,338,2026-04-01T18:05:26+00:00,Merge all processed text parquets for HRM (or transformer) unsupervised pretraining. For a **single** merged file use ``--pretrain_text_source all_data_parquet`` in ``train_single.py`` (``data/processed/all-data.parquet``). This module supports **all** ``data/processed/*.parquet`` via ``all_processe
Code/thesis/common/paths.py,10,2026-03-30T05:59:34+00:00,
Code/thesis/common/pkg_bootstrap.py,17,2026-03-30T05:59:34+00:00,Install a namespace package for ``Code.models`` without running the heavy ``__init__.py``.
Code/thesis/common/resume_checkpoint.py,245,2026-04-02T04:06:20+00:00,"Periodic training snapshots under a temp (or custom) directory for resume after crash/SIGTERM. Final deliverable weights still go to checkpoints/ as .safetensors per docs/task.txt. Resume bundles use model.safetensors + train_state.pt (optimizer, AMP scaler) + meta.json."
Code/thesis/common/torch_util.py,31,2026-03-30T05:59:34+00:00,Small PyTorch helpers shared by train and eval.
Code/thesis/common/wrappers.py,25,2026-03-30T05:59:34+00:00,"Thin wrappers so RNN cores expose (batch, n_classes) logits."
Code/thesis/data/add_source_stem_to_transformed_parquet.py,124,2026-04-03T03:48:32+00:00,Append ``source_stem`` to ``data/transformed/all-data.parquet`` from aligned rows in ``data/processed/all-data.parquet`` (same row count / order). Does not read or write ``processed/all-data.parquet`` except to read ``source_stem``. Run from TEMP:: python Code/thesis/data/add_source_stem_to_transfor
Code/thesis/data/create_dummy_data.py,70,2026-03-30T05:59:34+00:00,Sample small Parquet shards from ``data/processed`` and ``data/transformed`` into ``DUMMY/DATA`` for lightweight mock runs. Run from repository root:: python Code/thesis/data/create_dummy_data.py python Code/thesis/data/create_dummy_data.py --samples 100
Code/thesis/data/embed_reduce.py,218,2026-03-30T05:59:34+00:00,
Code/thesis/data/filter_empty_text.py,85,2026-03-30T09:42:58+00:00,Remove rows with empty `text` from processed parquets in-place (tmp + replace). Skips ``all-data.parquet`` by default so a merged corpus is not rewritten unless you opt in with ``--include-all-data``.
Code/thesis/data/merge_all_data_parquet.py,184,2026-03-30T09:43:22+00:00,"Build ``data/processed/all-data.parquet`` by concatenating every ``*.parquet`` in ``data/processed`` except ``all-data.parquet``, with a unified schema: - ``text`` (from ``text``, ``cleaned_text``, or inferred) - ``sentiment_value`` (int labels via ``coerce_label_int``) - ``source_stem`` (optional, "
